query,label
Read me the latest headlines,News
Give me the top news stories,News
Give me the latest celebrity news,News
Give me the breaking news headlines,News
What's the latest news update?,News
Give me the latest celebrity gossip,News
Give me the latest science discoveries,News
Tell me the latest travel destinations,News
Read me the latest sports news,News
Give me the latest music news,News
Read me the latest news,News
Tell me the latest fashion news,News
Give me the latest music releases,News
Tell me the latest sports scores,News
What's the current pollen count?,Weather
What should I wear today?,Weather
What's the forecast for the next week?,Weather
What's the wind chill factor tomorrow in Fahrenheit?,Weather
Is it going to rain today?,Weather
what is the weather today in Pyeongtaek,Weather
what is the weather in Pyeongtaek,Weather
What's the forecast for today?,Weather
Is it going to be sunny today?,Weather
What's the heat index tomorrow in Celsius?,Weather
What's the chance of snow tomorrow?,Weather
What's the sunrise time today?,Weather
What's the weather like today?,Weather
Is it going to be a sunny day?,Weather
Where can I find the weather forecast for the next week?,Weather
What's the current chance of rain?,Weather
What's the current snow depth?,Weather
What's the UV index tomorrow on a scale from 1 to 10?,Weather
How does the weather look for tomorrow?,Weather
What's the weather like right now?,Weather
What's the chance of rain tomorrow?,Weather
What's the weather like tomorrow?,Weather
What's the current UV index?,Weather
What will the weather be like tomorrow?,Weather
What's the current air pressure in millibars?,Weather
What's the current temperature in Kelvin?,Weather
What's the potential for severe weather today?,Weather
Should I carry an umbrella today?,Weather
What's the current temperature outside?,Weather
Is there a chance of thunderstorms today?,Weather
What's the current dew point in degrees Celsius?,Weather
What's the sunset time today?,Weather
What's the UV index today?,Weather
search google for the weather in el paso tomorrow,Weather
Should I bring an umbrella tomorrow?,Weather
Check the current traffic conditions on the I-95 highway,Search
Whats the live score of the New York Yankees baseball game,Search
Find the current stock price of Tesla Inc,Search
Check the status of flight AA 202 from New York to London,Search
What are the latest COVID-19 travel restrictions for traveling to Japan,Search
Find the current exchange rate between the British Pound and the Japanese Yen,Search
Whats the air quality index in Beijing right now,Search
Check the real-time price of Bitcoin,Search
Look up the current wait times at Disneyland,Search
What are the trending topics on Twitter right now,Search
Find the latest updates on the ongoing political election results,Search
What is the current level of the Nile River in Cairo,Search
Search for the latest traffic regulations in downtown Berlin,Search
Look up live updates on the ongoing tennis match at Wimbledon,Search
Check the current sea conditions for sailing in the Caribbean,Search
What are the latest gold prices per ounce today,Search
Find the current time and temperature in Sydney Australia,Search
Search for the latest sports car models released by Ferrari,Search
Find the current opening hours of the British Museum in London,Search
Check the next available appointment at the U.S. embassy in Berlin,Search
What is the current status of the International Space Station,Search
Find the departure times for trains from Paris to Rome today,Search
Check the current status of the Tokyo Stock Exchange,Search
What are the latest visa requirements for tourists visiting Australia,Search
Find the schedule for upcoming space launches by NASA,Search
Check the live status of the London Underground service,Search
What is the current occupancy rate of hotels in Dubai,Search
Search for the next lunar eclipse visible in North America,Search
Find the current interest rates for savings accounts in major U.S. banks,Search
Check the availability of tickets for the Broadway show Hamilton for next weekend,Search
What are the latest advancements in solar energy technology,Search
Find the current rankings in mens professional tennis,Search
Check the status of international shipping lanes in the Mediterranean Sea,Search
What is the current population of New York City,Search
Current time in kentucky,Search
Current time in new york,Search
Search for the latest innovations in smartphone technology,Search
Find the status of major airports in Europe due to weather conditions,Search
Check the availability of electric vehicle charging stations in downtown Chicago,Search
Who is the current speaker of the house,Search
Check the current status of flight AA280,Search
Find the latest updates on international trade agreements,Search
Check the current wait times at the Louvre Museum,Search
What are the entry requirements for hiking in the National Parks of Canada,Search
Search for the next total solar eclipse dates,Search
Find the latest developments in artificial intelligence research,Search
Check the live status of the New York Stock Exchange,Search
What is the current bestselling novel in the UK,Search
Search for the latest trends in virtual reality gaming,Search
Find the next scheduled international cricket matches,Search
Check the status of the Trans-European Rail network,Search
What is the current exchange rate for Euro to Japanese Yen,Search
Search for the latest models of hybrid cars available in Europe,Search
Find the current schedule of Broadway shows in New York,Search
Check the live waiting times at Universal Studios Orlando,Search
What are the latest findings in climate change research,Search
Search for the current trends in fashion in Milan,Search
Find the schedule of the upcoming film festivals,Search
Check the status of the Great Barrier Reef conservation efforts,Search
What is the current water level of the River Thames in London,Search
What is the current exchange rate for usd to yen,Search
can you search on google for,Search
Exchange rate for usd to won,Search
Search for the latest advancements in space exploration by the European Space Agency,Search
What is the stock market valued at right now,Search
What is the value of VTSAX,Search
current stock ticker value of VTSAX,Search
can you tell me a funny joke,Chat
Can you tell me the age-old not not joke about a cow,Chat
can I delete your memory file and reset you,Chat
i am ready,Chat
can I delete you and reset you,Chat
no can i have permission to delete your memory,Chat
your so silly,Chat
hey hows it going?,Chat
dont worry mori your mine,Chat
what is my name,Chat
i got to go,Goodbye
bye,Goodbye
talk to you later,Goodbye
ill be right back,Goodbye
see you later,Goodbye
take care,Goodbye
farewell,Goodbye
catch you later,Goodbye
so long,Goodbye
peace out,Goodbye
till we meet again,Goodbye
adios,Goodbye
cheerio,Goodbye
later gator,Goodbye
toodles,Goodbye
bye for now,Goodbye
ciao,Goodbye
Goodbye for now,Goodbye
take it easy,Goodbye
it was nice talking to you,Goodbye
until next time,Goodbye
see you around,Goodbye
have a good one,Goodbye
keep in touch,Goodbye
time to say Goodbye,Goodbye
until we meet again,Goodbye
farewell my friend,Goodbye
catch you on the flip side,Goodbye
Im off now,Goodbye
take care of yourself,Goodbye
goodnight,Goodbye
brb,Goodbye
ill brb,Goodbye
i'll be right back,Goodbye
cya,Goodbye
c-ya,Goodbye
grab i gtg again ill brb,Goodbye
i gtg,Goodbye
gtg,Goodbye
show me what you see,Vision
look at this,Vision
can you see this,Vision
what does this look like,Vision
capture this,Vision
take a picture of this,Vision
analyze this image,Vision
what is in this photo,Vision
identify this object,Vision
scan this,Vision
recognize this,Vision
what do you see here,Vision
use the camera to view this,Vision
can you photograph this,Vision
show me the view,Vision
whats in front of you,Vision
can you check this out,Vision
look over here,Vision
